t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1485943202,1,0.753481,0.753481,0.753481,0.000000,0.753481,0.753481,0.753481,0.753481,0.753481,0.753481,0.433912,0.000000,0.000000,0.000000,calls/second,seconds
1485943232,1,0.753481,0.753481,0.753481,0.000000,0.753481,0.753481,0.753481,0.753481,0.753481,0.753481,0.030934,0.131848,0.184009,0.194521,calls/second,seconds
1485943262,1,0.753481,0.753481,0.753481,0.000000,0.753481,0.753481,0.753481,0.753481,0.753481,0.753481,0.016050,0.079970,0.166498,0.188144,calls/second,seconds
1485943292,1,0.753481,0.753481,0.753481,0.000000,0.753481,0.753481,0.753481,0.753481,0.753481,0.753481,0.010834,0.048504,0.150654,0.181976,calls/second,seconds
1485943322,1,0.753481,0.753481,0.753481,0.000000,0.753481,0.753481,0.753481,0.753481,0.753481,0.753481,0.008177,0.029419,0.136317,0.176010,calls/second,seconds
1485943352,1,0.753481,0.753481,0.753481,0.000000,0.753481,0.753481,0.753481,0.753481,0.753481,0.753481,0.006566,0.017844,0.123345,0.170239,calls/second,seconds
1485943382,1,0.753481,0.753481,0.753481,0.000000,0.753481,0.753481,0.753481,0.753481,0.753481,0.753481,0.005485,0.010823,0.111607,0.164658,calls/second,seconds
1485943412,1,0.753481,0.753481,0.753481,0.000000,0.753481,0.753481,0.753481,0.753481,0.753481,0.753481,0.004687,0.006564,0.100986,0.159260,calls/second,seconds
1485943442,1,0.753481,0.753481,0.753481,0.000000,0.753481,0.753481,0.753481,0.753481,0.753481,0.753481,0.004127,0.003981,0.091376,0.154039,calls/second,seconds
1485943472,1,0.753481,0.753481,0.753481,0.000000,0.753481,0.753481,0.753481,0.753481,0.753481,0.753481,0.003672,0.002415,0.082681,0.148989,calls/second,seconds
1485943827,1,0.573028,0.573028,0.573028,0.000000,0.573028,0.573028,0.573028,0.573028,0.573028,0.573028,0.035813,0.143306,0.187101,0.195605,calls/second,seconds
1485943857,1,0.573028,0.573028,0.573028,0.000000,0.573028,0.573028,0.573028,0.573028,0.573028,0.573028,0.017250,0.086920,0.169296,0.189192,calls/second,seconds
1485943887,1,0.573028,0.573028,0.573028,0.000000,0.573028,0.573028,0.573028,0.573028,0.573028,0.573028,0.011374,0.052719,0.153186,0.182989,calls/second,seconds
1485943917,1,0.573028,0.573028,0.573028,0.000000,0.573028,0.573028,0.573028,0.573028,0.573028,0.573028,0.008480,0.031976,0.138608,0.176990,calls/second,seconds
1485943947,1,0.573028,0.573028,0.573028,0.000000,0.573028,0.573028,0.573028,0.573028,0.573028,0.573028,0.006760,0.019394,0.125418,0.171188,calls/second,seconds
1485943977,1,0.573028,0.573028,0.573028,0.000000,0.573028,0.573028,0.573028,0.573028,0.573028,0.573028,0.005621,0.011763,0.113483,0.165576,calls/second,seconds
1485944007,1,0.573028,0.573028,0.573028,0.000000,0.573028,0.573028,0.573028,0.573028,0.573028,0.573028,0.004809,0.007135,0.102683,0.160147,calls/second,seconds
1485944037,1,0.573028,0.573028,0.573028,0.000000,0.573028,0.573028,0.573028,0.573028,0.573028,0.573028,0.004185,0.004327,0.092912,0.154897,calls/second,seconds
1485944067,1,0.573028,0.573028,0.573028,0.000000,0.573028,0.573028,0.573028,0.573028,0.573028,0.573028,0.003732,0.002625,0.084070,0.149819,calls/second,seconds
1485944097,1,0.573028,0.573028,0.573028,0.000000,0.573028,0.573028,0.573028,0.573028,0.573028,0.573028,0.003357,0.001592,0.076070,0.144907,calls/second,seconds
1485944127,2,0.573028,0.469690,0.468542,0.010892,0.468542,0.468542,0.468542,0.468542,0.573028,0.573028,0.006099,0.012424,0.071923,0.141240,calls/second,seconds
1485944157,2,0.573028,0.469690,0.468542,0.010892,0.468542,0.468542,0.468542,0.468542,0.573028,0.573028,0.005588,0.007535,0.065079,0.136610,calls/second,seconds
