t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1485942057,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.039163,0.143306,0.187101,0.195605,calls/second,seconds
1485942087,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.018008,0.086920,0.169296,0.189192,calls/second,seconds
1485942117,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.011692,0.052719,0.153186,0.182989,calls/second,seconds
1485942147,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.008655,0.031976,0.138608,0.176990,calls/second,seconds
1485942177,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.006870,0.019394,0.125418,0.171188,calls/second,seconds
1485942207,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.005697,0.011763,0.113483,0.165576,calls/second,seconds
1485942237,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.004865,0.007135,0.102683,0.160147,calls/second,seconds
1485942267,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.004246,0.004327,0.092912,0.154897,calls/second,seconds
1485942297,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.003766,0.002625,0.084070,0.149819,calls/second,seconds
1485942327,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.003384,0.001592,0.076070,0.144907,calls/second,seconds
1485942357,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.003072,0.000966,0.068831,0.140157,calls/second,seconds
1485942387,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.002812,0.000586,0.062281,0.135562,calls/second,seconds
1485942417,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.002593,0.000355,0.056354,0.131118,calls/second,seconds
1485942447,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.002407,0.000215,0.050991,0.126819,calls/second,seconds
1485942477,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.002245,0.000131,0.046139,0.122661,calls/second,seconds
1485942507,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.002103,0.000079,0.041748,0.118640,calls/second,seconds
1485942537,1,0.439928,0.439928,0.439928,0.000000,0.439928,0.439928,0.439928,0.439928,0.439928,0.439928,0.001978,0.000048,0.037775,0.114751,calls/second,seconds
