t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1485943232,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,seconds
1485943262,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,seconds
1485943292,1,64.867087,64.867087,64.867087,0.000000,64.867087,64.867087,64.867087,64.867087,64.867087,64.867087,0.012142,0.012454,0.003144,0.001090,calls/second,seconds
1485943322,1,64.867087,64.867087,64.867087,0.000000,64.867087,64.867087,64.867087,64.867087,64.867087,64.867087,0.008900,0.007554,0.002845,0.001054,calls/second,seconds
1485943352,1,64.867087,64.867087,64.867087,0.000000,64.867087,64.867087,64.867087,64.867087,64.867087,64.867087,0.007024,0.004582,0.002574,0.001019,calls/second,seconds
1485943382,1,64.867087,64.867087,64.867087,0.000000,64.867087,64.867087,64.867087,64.867087,64.867087,64.867087,0.005802,0.002779,0.002329,0.000986,calls/second,seconds
1485943412,1,64.867087,64.867087,64.867087,0.000000,64.867087,64.867087,64.867087,64.867087,64.867087,64.867087,0.004917,0.001685,0.002108,0.000954,calls/second,seconds
1485943442,1,64.867087,64.867087,64.867087,0.000000,64.867087,64.867087,64.867087,64.867087,64.867087,64.867087,0.004304,0.001022,0.001907,0.000922,calls/second,seconds
1485943472,1,64.867087,64.867087,64.867087,0.000000,64.867087,64.867087,64.867087,64.867087,64.867087,64.867087,0.003812,0.000620,0.001726,0.000892,calls/second,seconds
1485943827,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.055624,0.169296,0.193443,0.197790,calls/second,seconds
1485943857,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.020821,0.102683,0.175035,0.191306,calls/second,seconds
1485943887,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.012824,0.062281,0.158378,0.185034,calls/second,seconds
1485943917,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.009261,0.037775,0.143306,0.178968,calls/second,seconds
1485943947,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.007248,0.022912,0.129669,0.173101,calls/second,seconds
1485943977,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.005953,0.013897,0.117329,0.167426,calls/second,seconds
1485944007,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.005051,0.008429,0.106164,0.161937,calls/second,seconds
1485944037,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.004367,0.005112,0.096061,0.156628,calls/second,seconds
1485944067,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.003876,0.003101,0.086920,0.151493,calls/second,seconds
1485944097,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.003473,0.001881,0.078648,0.146526,calls/second,seconds
1485944127,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.003145,0.001141,0.071164,0.141723,calls/second,seconds
1485944157,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.002874,0.000692,0.064392,0.137077,calls/second,seconds
1485944187,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.002646,0.000420,0.058264,0.132583,calls/second,seconds
1485944217,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.002451,0.000255,0.052719,0.128236,calls/second,seconds
1485944247,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.002283,0.000154,0.047703,0.124032,calls/second,seconds
1485944277,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.002137,0.000094,0.043163,0.119966,calls/second,seconds
1485944307,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.002008,0.000057,0.039056,0.116033,calls/second,seconds
1485944337,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.001894,0.000034,0.035339,0.112229,calls/second,seconds
1485944367,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.001792,0.000021,0.031976,0.108549,calls/second,seconds
1485944397,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.001701,0.000013,0.028933,0.104991,calls/second,seconds
1485944427,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.001618,0.000008,0.026180,0.101549,calls/second,seconds
1485944457,1,4.211111,4.211111,4.211111,0.000000,4.211111,4.211111,4.211111,4.211111,4.211111,4.211111,0.001543,0.000005,0.023688,0.098220,calls/second,seconds
