t,value
1485941847,68170496
1485941877,58541752
1485941907,59177560
1485941937,59628984
1485941967,60018920
1485941997,60345992
1485942027,65464072
1485942057,66857312
1485942087,67429872
1485942117,68157488
1485942147,68819888
1485942177,69239424
1485942207,59490216
1485942237,59944440
1485942267,60240392
1485942297,60639960
1485942327,61096544
1485942357,61493496
1485942387,61728472
1485942417,62228248
1485942447,63187480
1485942477,63576000
1485942507,63901392
1485942537,64309416
1485942693,65367768
1485942723,66116888
1485942753,66826072
1485942783,67707800
1485942920,56300672
1485942950,56710368
1485942980,57177528
1485943010,57816112
1485943040,58244288
1485943112,62038416
1485943142,62776552
1485943172,63589656
1485943202,57837208
1485943232,67996424
1485943262,55262312
1485943292,137611896
1485943322,141433312
1485943352,145329936
1485943382,149866936
1485943412,153807632
1485943442,157598960
1485943472,161512304
1485943527,62019296
1485943557,62546536
1485943587,63266400
1485943617,64238808
1485943647,64870328
1485943677,54999616
1485943707,55627360
1485943737,55889760
1485943767,56340696
1485943797,56985832
1485943827,71096216
1485943857,71565824
1485943887,71988848
1485943917,56762336
1485943947,57219976
1485943977,57619120
1485944007,58057960
1485944037,58480456
1485944067,58942832
1485944097,59323528
1485944127,61089760
1485944157,61468056
1485944187,61891136
1485944217,62329016
1485944247,62751624
1485944277,63173480
1485944307,63594872
1485944337,64056696
1485944367,64473024
1485944397,64912296
1485944427,66081280
1485944457,66511064
1485944509,66015432
1485944539,66660752
1485944569,67267896
1485944599,68248688
1485944629,68981416
1485944659,59084336
1485944689,59758384
1485944719,64165048
1485944749,64570136
1485944779,65360520
1485944809,65943608
1485944839,66302648
1485944869,66686688
1485944899,67118152
1485944929,67501912
1485944959,67848248
1485944989,68190144
1485945019,68681656
1485945049,69052144
1485945079,69440568
1485945109,70362576
1485945139,70771816
1485945169,71136344
1485945199,55764864
1485945229,56340472
1485945259,56725280
1485945289,57176560
1485945319,57591664
1485945349,57982816
1485945379,58375440
1485945409,59369416
1485945439,59828104
1485945469,60169296
1485945499,60502688
1485945529,60951760
1485945559,61350896
1485945589,62500392
1485945619,62908376
1485945649,63324624
1485945679,63721464
1485945709,64735368
1485945739,65072000
1485945769,65412464
1485945799,65837280
1485945829,66217616
1485945859,66523872
1485945889,66944320
1485945919,68135960
1485945949,68463048
1485945979,68885336
1485946009,69795128
1485946039,70167208
1485946069,70612824
1485946099,70962312
1485946129,56713648
1485946159,57048256
1485946189,57440872
1485946219,58371568
1485946249,58752248
1485946279,59061104
1485946309,59993256
1485946339,60304616
1485946369,60649224
1485946399,61031584
1485946429,61403280
1485946459,61695024
1485946489,62154664
1485946519,63135576
1485946549,63518544
1485946579,63702056
1485946609,64669400
1485946639,64766880
1485946669,65138336
1485946699,65513192
1485946749,67310744
1485946779,67871272
1485946809,61948856
1485946839,62498536
1485946869,62970696
1485946899,63453576
1485946929,63961320
1485946959,64363912
1485946989,64774680
1485947019,65599480
1485947049,66359664
1485947079,66858224
1485947109,68144592
1485947139,68584016
1485947169,69012552
1485947199,69327664
1485947229,69868952
1485947259,70396240
1485947289,70768232
1485947319,55967792
1485947349,57070208
1485947379,57445488
1485947409,58782160
1485947439,59054800
1485947469,59582496
1485947499,59970192
1485947529,60489640
1485947559,60947088
1485947589,61293840
1485947619,61736336
1485947649,62596848
1485947679,63046744
1485947709,64362336
1485947739,64845488
1485947769,65251352
1485947799,65640992
1485947829,66046824
1485947859,66471960
1485947889,66953608
1485947919,67446104
1485947949,68390064
1485947979,68752192
1485948009,69985832
1485948039,70404528
1485948069,56311136
1485948099,56906792
1485948129,57334264
1485948159,57617632
1485948189,58034936
1485948219,58394048
1485948249,59449016
1485948279,59817632
1485948309,60923304
1485948339,61305512
1485948369,61634624
1485948399,62034576
1485948429,62462120
1485948459,62874608
1485948489,63220192
1485948519,63600544
1485948549,64516488
1485948579,64840264
1485948609,65876368
1485948639,66171352
1485948669,66517832
1485948699,66880240
1485948729,67302176
1485948759,67680176
1485948789,68114496
1485948819,68412728
1485948849,69510856
1485948879,69779624
1485948909,70915488
1485948939,56254728
1485948969,56732600
1485948999,57094136
1485949029,57482976
1485949059,57640128
1485949089,57795936
1485949119,58139960
1485949149,59071840
1485949179,59345984
1485949209,60428112
1485949239,60741112
1485949269,61149232
1485949299,61566864
1485949329,61849232
1485949359,62194848
1485949389,62606896
1485949419,63390792
1485949449,63811360
1485949479,64205936
1485949509,65303576
1485949539,65595104
1485949569,66007872
1485949599,66395552
1485949629,66653576
1485949659,67178000
1485949689,67378344
1485949719,67748200
1485949749,68671584
1485949779,68945304
