t,value
1485941847,26
1485941877,26
1485941907,26
1485941937,26
1485941967,26
1485941997,26
1485942027,26
1485942057,27
1485942087,27
1485942117,27
1485942147,27
1485942177,27
1485942207,27
1485942237,27
1485942267,27
1485942297,27
1485942327,27
1485942357,27
1485942387,27
1485942417,27
1485942447,27
1485942477,27
1485942507,27
1485942537,27
1485942693,26
1485942723,26
1485942753,26
1485942783,26
1485942920,27
1485942950,27
1485942980,27
1485943010,27
1485943040,27
1485943112,26
1485943142,26
1485943172,26
1485943202,27
1485943232,33
1485943262,29
1485943292,29
1485943322,29
1485943352,29
1485943382,29
1485943412,29
1485943442,29
1485943472,29
1485943527,26
1485943557,26
1485943587,26
1485943617,26
1485943647,26
1485943677,26
1485943707,26
1485943737,26
1485943767,26
1485943797,26
1485943827,33
1485943857,29
1485943887,29
1485943917,29
1485943947,29
1485943977,29
1485944007,29
1485944037,29
1485944067,29
1485944097,29
1485944127,30
1485944157,30
1485944187,30
1485944217,30
1485944247,30
1485944277,30
1485944307,30
1485944337,30
1485944367,30
1485944397,30
1485944427,30
1485944457,30
1485944509,26
1485944539,26
1485944569,26
1485944599,26
1485944629,26
1485944659,26
1485944689,26
1485944719,27
1485944749,27
1485944779,27
1485944809,27
1485944839,27
1485944869,27
1485944899,27
1485944929,27
1485944959,27
1485944989,27
1485945019,27
1485945049,27
1485945079,27
1485945109,27
1485945139,27
1485945169,27
1485945199,27
1485945229,27
1485945259,27
1485945289,27
1485945319,27
1485945349,27
1485945379,27
1485945409,27
1485945439,27
1485945469,27
1485945499,27
1485945529,27
1485945559,27
1485945589,28
1485945619,28
1485945649,28
1485945679,29
1485945709,29
1485945739,29
1485945769,29
1485945799,29
1485945829,29
1485945859,29
1485945889,29
1485945919,30
1485945949,30
1485945979,30
1485946009,30
1485946039,30
1485946069,30
1485946099,30
1485946129,30
1485946159,30
1485946189,30
1485946219,31
1485946249,31
1485946279,31
1485946309,31
1485946339,31
1485946369,31
1485946399,31
1485946429,31
1485946459,31
1485946489,31
1485946519,32
1485946549,32
1485946579,32
1485946609,32
1485946639,32
1485946669,32
1485946699,32
1485946749,26
1485946779,26
1485946809,27
1485946839,27
1485946869,27
1485946899,27
1485946929,27
1485946959,27
1485946989,27
1485947019,27
1485947049,27
1485947079,27
1485947109,28
1485947139,28
1485947169,28
1485947199,28
1485947229,28
1485947259,28
1485947289,28
1485947319,28
1485947349,28
1485947379,28
1485947409,29
1485947439,29
1485947469,29
1485947499,29
1485947529,29
1485947559,29
1485947589,29
1485947619,29
1485947649,29
1485947679,29
1485947709,30
1485947739,30
1485947769,30
1485947799,30
1485947829,30
1485947859,30
1485947889,30
1485947919,30
1485947949,30
1485947979,30
1485948009,32
1485948039,31
1485948069,31
1485948099,31
1485948129,31
1485948159,31
1485948189,31
1485948219,31
1485948249,31
1485948279,31
1485948309,32
1485948339,34
1485948369,32
1485948399,32
1485948429,32
1485948459,32
1485948489,32
1485948519,32
1485948549,32
1485948579,32
1485948609,34
1485948639,33
1485948669,33
1485948699,33
1485948729,33
1485948759,33
1485948789,33
1485948819,33
1485948849,33
1485948879,33
1485948909,33
1485948939,33
1485948969,33
1485948999,33
1485949029,33
1485949059,33
1485949089,33
1485949119,33
1485949149,33
1485949179,33
1485949209,33
1485949239,33
1485949269,33
1485949299,33
1485949329,33
1485949359,33
1485949389,33
1485949419,33
1485949449,33
1485949479,33
1485949509,33
1485949539,33
1485949569,33
1485949599,33
1485949629,33
1485949659,33
1485949689,33
1485949719,33
1485949749,33
1485949779,33
